epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,679.72,0.98366,1.69294,0.82454,1.22344,0.90696,0.72611,0.83555,0.59503,0.94443,0.71656,0.83108,0.55221,1.02226,1.58459,0.77716,1.26617,0.0014258,0.0014258,0.0014258
31,702.398,0.99376,1.64948,0.8247,1.23054,0.85482,0.75006,0.83017,0.60707,0.82907,0.75796,0.81701,0.55394,0.98844,1.82087,0.76667,1.23231,0.001406,0.001406,0.001406
32,724.844,0.99822,1.67512,0.82922,1.23138,0.85742,0.71975,0.81046,0.58989,0.88635,0.72026,0.81769,0.54274,0.97968,1.66079,0.81212,1.24623,0.0013862,0.0013862,0.0013862
33,747.196,0.97395,1.60485,0.78831,1.22309,0.83523,0.74204,0.81622,0.58159,0.85429,0.75159,0.80375,0.55717,1.05667,1.66983,0.83871,1.2732,0.0013664,0.0013664,0.0013664
34,769.692,0.97352,1.6392,0.80439,1.22757,0.88743,0.71656,0.81558,0.57553,0.92165,0.71184,0.81651,0.54602,1.08832,1.62166,0.8114,1.29066,0.0013466,0.0013466,0.0013466
35,792.165,0.96676,1.60783,0.78453,1.21057,0.88487,0.75883,0.83698,0.60571,0.90931,0.76638,0.84573,0.5714,0.98041,1.54983,0.71363,1.22767,0.0013268,0.0013268,0.0013268
36,814.573,0.95897,1.61946,0.78783,1.2048,0.92963,0.75727,0.85146,0.6338,0.92572,0.75409,0.83849,0.57869,0.98648,1.63051,0.69174,1.20935,0.001307,0.001307,0.001307
37,837.03,0.9399,1.59806,0.76268,1.19426,0.85891,0.75159,0.83772,0.58044,0.85847,0.75337,0.82774,0.55714,1.02407,1.56111,0.79946,1.25398,0.0012872,0.0012872,0.0012872
38,859.582,0.93593,1.61219,0.7514,1.19711,0.91757,0.75796,0.84347,0.60845,0.94143,0.76779,0.84385,0.57383,0.9822,1.5235,0.70697,1.21972,0.0012674,0.0012674,0.0012674
39,881.975,0.93513,1.57307,0.74566,1.19131,0.90242,0.73567,0.82911,0.60453,0.90032,0.73248,0.80774,0.53875,0.96966,1.70969,0.77443,1.22247,0.0012476,0.0012476,0.0012476
40,904.31,0.92302,1.554,0.73675,1.18677,0.85978,0.7811,0.82972,0.6091,0.88704,0.75796,0.82888,0.56186,0.97128,1.5611,0.76093,1.21279,0.0012278,0.0012278,0.0012278
41,926.919,0.91674,1.55573,0.75248,1.19052,0.93636,0.78025,0.86519,0.64692,0.93333,0.7579,0.85626,0.59315,0.91873,1.54556,0.6479,1.18597,0.001208,0.001208,0.001208
42,949.655,0.92337,1.56222,0.73893,1.18932,0.89606,0.79623,0.84996,0.63677,0.89606,0.79623,0.85217,0.59021,0.95839,1.52998,0.67701,1.19973,0.0011882,0.0011882,0.0011882
43,972.006,0.919,1.53664,0.70901,1.17535,0.88436,0.7707,0.84721,0.6067,0.88781,0.7707,0.84215,0.58228,0.98688,1.5152,0.72544,1.21948,0.0011684,0.0011684,0.0011684
44,994.507,0.91046,1.53216,0.70336,1.18948,0.94633,0.77389,0.85932,0.63361,0.93429,0.76977,0.85485,0.59407,0.95885,1.4824,0.67214,1.19542,0.0011486,0.0011486,0.0011486
45,1016.98,0.89359,1.48694,0.70606,1.16459,0.92379,0.73248,0.83124,0.62155,0.8817,0.76752,0.83683,0.58003,0.95376,1.47891,0.73668,1.19855,0.0011288,0.0011288,0.0011288
46,1039.33,0.90574,1.52625,0.70437,1.18275,0.93423,0.76902,0.86171,0.63885,0.93044,0.76677,0.85205,0.57807,0.93285,1.54314,0.67653,1.19386,0.001109,0.001109,0.001109
