epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,534.584,0.64648,1.05562,0.86809,0.9905,0.40245,0.36776,0.34954,0.25887,0.41014,0.37272,0.3581,0.2514,1.03315,1.91218,1.97761,1.33454,0.000450493,0.000450493,0.000450493
31,551.765,0.6381,1.03724,0.84289,0.98837,0.42045,0.34955,0.33381,0.24444,0.44533,0.36145,0.35376,0.24558,1.0494,1.95983,2.119,1.32151,0.000447889,0.000447889,0.000447889
32,568.773,0.63064,1.01928,0.80714,0.985,0.42271,0.36602,0.34475,0.2624,0.43909,0.37374,0.35655,0.25655,1.06312,2.00349,2.09789,1.38084,0.000445285,0.000445285,0.000445285
33,585.961,0.61806,1.03859,0.78491,0.97214,0.44027,0.38402,0.36015,0.26765,0.44331,0.39559,0.36656,0.26483,1.05395,2.08012,2.06666,1.34813,0.000442682,0.000442682,0.000442682
34,602.986,0.61575,0.98557,0.77437,0.97591,0.40651,0.38283,0.35946,0.25844,0.40164,0.37876,0.35974,0.24952,1.05918,2.09909,2.02486,1.37288,0.000440078,0.000440078,0.000440078
35,620.19,0.61535,1.0102,0.77539,0.97564,0.46355,0.39838,0.40102,0.30612,0.46547,0.40269,0.40625,0.29163,0.97389,1.77743,1.78889,1.30429,0.000437474,0.000437474,0.000437474
36,637.216,0.61012,0.9934,0.77184,0.97071,0.44033,0.35579,0.37921,0.29156,0.44612,0.36166,0.38119,0.27699,0.97505,1.82989,1.91898,1.31139,0.00043487,0.00043487,0.00043487
37,654.38,0.61021,0.98917,0.77169,0.97311,0.43041,0.37955,0.35211,0.26849,0.43499,0.38159,0.35357,0.26166,1.01465,1.89287,2.02029,1.34221,0.000432267,0.000432267,0.000432267
38,671.407,0.60641,0.99009,0.73227,0.96407,0.52332,0.4176,0.38417,0.2945,0.5333,0.42842,0.39513,0.28503,1.01955,2.02608,2.07803,1.32478,0.000429663,0.000429663,0.000429663
39,688.592,0.58499,0.97126,0.72331,0.95706,0.41413,0.39868,0.3536,0.26519,0.42262,0.40046,0.35559,0.25902,0.99018,1.87307,1.96048,1.30284,0.000427059,0.000427059,0.000427059
40,705.612,0.57898,0.94888,0.69024,0.96035,0.46774,0.42135,0.41181,0.31767,0.55514,0.38943,0.41766,0.30462,0.99431,1.91004,1.92737,1.30377,0.000424456,0.000424456,0.000424456
41,722.774,0.58063,0.92869,0.67285,0.95475,0.50691,0.3451,0.35499,0.27299,0.53184,0.35816,0.37243,0.27382,1.05039,1.95477,2.15431,1.35764,0.000421852,0.000421852,0.000421852
42,739.785,0.57593,0.92624,0.66271,0.95221,0.47263,0.40215,0.36835,0.28259,0.48299,0.40932,0.3764,0.27507,1.00034,2.02386,2.01282,1.31412,0.000419248,0.000419248,0.000419248
43,757.498,0.5655,0.90194,0.64005,0.94774,0.41831,0.38372,0.38167,0.28977,0.4232,0.38785,0.38924,0.28647,0.97339,1.98505,1.90612,1.30973,0.000416645,0.000416645,0.000416645
