epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,669.67,0.92193,1.61146,0.74375,1.19394,0.89682,0.71974,0.81241,0.57798,0.9087,0.72908,0.82663,0.5642,1.05703,1.5436,0.79664,1.25875,0.0008516,0.0008516,0.0008516
31,691.898,0.91712,1.53335,0.73315,1.19235,0.93015,0.76342,0.8544,0.62691,0.92592,0.75632,0.8397,0.59497,0.95357,1.48411,0.69233,1.21358,0.000812,0.000812,0.000812
32,714.121,0.90634,1.51387,0.70355,1.17887,0.85764,0.74522,0.81815,0.57915,0.83588,0.76433,0.82148,0.55036,1.00301,1.55318,0.77165,1.25479,0.0007724,0.0007724,0.0007724
33,736.287,0.90766,1.54114,0.69374,1.18541,0.92121,0.76115,0.85718,0.64633,0.92506,0.76433,0.86169,0.6033,0.90053,1.44236,0.67171,1.175,0.0007328,0.0007328,0.0007328
34,758.492,0.91868,1.53832,0.71193,1.18464,0.8766,0.74657,0.82874,0.5792,0.87271,0.74241,0.82016,0.56083,1.02538,1.50876,0.81393,1.25553,0.0006932,0.0006932,0.0006932
35,780.689,0.87325,1.49061,0.69665,1.16236,0.89508,0.78025,0.85132,0.63988,0.90164,0.7882,0.85569,0.59374,0.91804,1.51714,0.67681,1.16707,0.0006536,0.0006536,0.0006536
36,802.94,0.85305,1.45205,0.65022,1.15525,0.91662,0.78981,0.86777,0.66166,0.92445,0.77937,0.86717,0.60782,0.92657,1.4594,0.63786,1.16065,0.000614,0.000614,0.000614
37,825.178,0.8516,1.47107,0.64588,1.15062,0.91364,0.78025,0.85804,0.64478,0.91969,0.76584,0.84858,0.58975,0.90176,1.45635,0.6748,1.16399,0.0005744,0.0005744,0.0005744
38,847.24,0.8541,1.43837,0.65604,1.14387,0.89516,0.73416,0.82204,0.61399,0.88739,0.72779,0.80883,0.56251,0.9079,1.49803,0.72278,1.19741,0.0005348,0.0005348,0.0005348
39,869.453,0.83225,1.45795,0.63617,1.13032,0.9547,0.76433,0.87466,0.65131,0.93319,0.78344,0.86626,0.59964,0.92511,1.48941,0.6444,1.18509,0.0004952,0.0004952,0.0004952
40,891.673,0.85353,1.45341,0.64941,1.15599,0.9377,0.76694,0.85727,0.6458,0.92938,0.7707,0.84733,0.59842,0.89604,1.408,0.6546,1.15952,0.0004556,0.0004556,0.0004556
41,914.632,0.78027,1.29977,0.57244,1.13496,0.94195,0.80892,0.86482,0.65332,0.9367,0.8011,0.85969,0.60219,0.91193,1.40597,0.63166,1.17275,0.000416,0.000416,0.000416
42,936.874,0.76263,1.25356,0.53455,1.12287,0.96255,0.7707,0.8653,0.65454,0.92986,0.80217,0.85699,0.60234,0.88276,1.40959,0.61838,1.16538,0.0003764,0.0003764,0.0003764
43,959.008,0.76719,1.26333,0.53295,1.12736,0.94588,0.79936,0.87016,0.66478,0.94116,0.80255,0.86527,0.62535,0.87007,1.38352,0.58492,1.15133,0.0003368,0.0003368,0.0003368
44,981.563,0.73844,1.21219,0.5138,1.10471,0.90916,0.79681,0.87704,0.67198,0.91289,0.80096,0.87223,0.62225,0.85043,1.3818,0.59509,1.13665,0.0002972,0.0002972,0.0002972
45,1003.91,0.72625,1.21355,0.49611,1.1009,0.94652,0.78025,0.87939,0.66749,0.95042,0.78025,0.87487,0.62182,0.88614,1.39787,0.59779,1.14525,0.0002576,0.0002576,0.0002576
46,1026.1,0.71986,1.19669,0.4998,1.09411,0.94929,0.79936,0.87505,0.66699,0.95467,0.80481,0.86855,0.62078,0.87402,1.41187,0.58792,1.14547,0.000218,0.000218,0.000218
47,1048.17,0.71035,1.17675,0.46703,1.08948,0.92961,0.80573,0.8783,0.67126,0.95514,0.80573,0.87882,0.62087,0.87793,1.37482,0.58969,1.14491,0.0001784,0.0001784,0.0001784
48,1070.36,0.69339,1.15954,0.46902,1.07195,0.91821,0.80892,0.87956,0.6867,0.92389,0.81179,0.87262,0.62334,0.85202,1.40444,0.58505,1.12498,0.0001388,0.0001388,0.0001388
49,1092.62,0.6783,1.1643,0.45946,1.07353,0.96909,0.79887,0.88132,0.67979,0.96852,0.80255,0.87562,0.625,0.87489,1.38691,0.57967,1.13414,9.92e-05,9.92e-05,9.92e-05
50,1114.77,0.65241,1.12989,0.43491,1.05105,0.93136,0.82107,0.88607,0.6934,0.95842,0.80746,0.87849,0.63652,0.84076,1.36205,0.5518,1.12262,5.96e-05,5.96e-05,5.96e-05
